productTitle,productPrice,averageRating,reviewTitle,reviewDescription,fiveStarRatingCount,fourStarRatingCount,threeStarRatingCount,twoStarRatingCount,oneStarRatingCount
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",S,4.3,Just wow!,unbelievable,"2,20,147","83,936","30,026","10,267","21,199"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)","₹9,499",4.3,Awesome,good mobile,"2,20,147","83,936","30,026","10,267","21,199"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)","₹9,499",4.3,Does the job,good,"2,20,147","83,936","30,026","10,267","21,199"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)","₹9,499",4.3,Good,it's good,"2,20,147","83,936","30,026","10,267","21,199"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)","₹9,499",4.3,Wonderful,very nice,"2,20,147","83,936","30,026","10,267","21,199"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)","₹9,499",4.3,Great product,very good selling,"2,20,147","83,936","30,026","10,267","21,199"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)","₹9,499",4.3,Classy product,super phone,"2,20,147","83,936","30,026","10,267","21,199"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)","₹9,499",4.3,Pretty good,very niceGood Phone,"2,20,147","83,936","30,026","10,267","21,199"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)","₹9,499",4.3,Value-for-money,excellent phone in this price segment.,"2,20,147","83,936","30,026","10,267","21,199"
"SAMSUNG Galaxy On Nxt (Gold, 16 GB)","₹9,499",4.3,Good quality product,product is good  but screen brightness and clearity is poor.auto adjust brightness is not available...,"2,20,147","83,936","30,026","10,267","21,199"
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,"₹1,499",4,Highly recommended,Very good build quality and fine finish... Drawer is quite small as it can't keep single pen.... Height adjustment is awesome feature of this table... I love it...,385,195,100,53,61
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,"₹1,499",4,Highly recommended,It is worth buying. Just that size appearing in the image is a bit larger as compare to the one delivered.Else it looks really cute and worth spending.,385,195,100,53,61
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,"₹1,499",4,Terrific,Such a Good product with such great price. Awesome table. Recommended,385,195,100,53,61
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,"₹1,499",4,Simply awesome,Good quality wood.Finishing is good.Iam full satisfied with product.Packing is also good and delivery is fast,385,195,100,53,61
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,"₹1,499",4,Unsatisfactory,"The product does not conform to the dimensions given in the product description. The product is much smaller than the dimensions given. Apart from the dimensions the product does not even incline to the angle shown in the pictures, there are 4 slots as compared to 5 as promised. Did not expect this from Flipkart. Apart from that the product is not even stable .",385,195,100,53,61
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,"₹1,499",4,Does the job,"Dimensions are not as mentioned in the pictures. Table is much smaller.Expected length = 21.7""  Actual length = 19.5""Expected width = 13.8""  Actual width = 11.5""Expected height = 11.4""  Actual height = 9.5""",385,195,100,53,61
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,"₹1,499",4,Unsatisfactory,Don't buy... very small and quality is also very poor. I was trying to return this product and get refund but there is no option for refund.... if you require such table it's better to go for local carpenter,385,195,100,53,61
Shopper52 Shopper52 Wooden Multipurpose Table for Laptop/Study/Reading/Eating/Craft-Work/Bed Table Kids Study Table Foldble Laptop Table with Drawer - WODTB2 Wood Portable Laptop Table,"₹1,499",4,Classy product,awsum product ..,385,195,100,53,61
